SessionID,location_label,type_label,fund_label,class_label,time_label
1604,101,2,1,1,2
1605,102,1,2,1,2
1606,103,1,1,1,1
1607,104,1,2,2,2
1608,402,1,1,1,2
1609,103,1,2,2,2
1610,103,1,1,1,2
1613,104,1,1,8,1
1617,200,1,2,1,2
1618,104,1,2,1,1
1619,103,1,2,1,2
1620,103,1,2,5,2
1621,104,2,1,2,2
1623,103,1,1,1,2
1624,200,1,2,1,2
1625,103,1,1,2,2
1626,101,1,2,8,2
1627,103,1,1,5,2
1628,104,1,2,1,2
1629,405,1,2,6,1
1630,200,1,2,1,2
1632,104,1,2,1,2
1633,101,1,1,1,2
1637,103,1,1,1,2
1638,103,1,2,5,1
1639,104,1,2,8,2
1640,101,1,1,4,2
1641,104,1,1,8,1
1642,104,1,2,1,2
1643,102,1,2,8,2
1644,102,1,1,1,2
1646,104,3,2,8,2
1647,200,1,2,1,2
1648,103,1,2,1,2
1649,200,1,2,1,2
1650,104,1,1,1,2
1651,200,1,2,1,2
1652,101,1,2,2,1
1654,101,1,1,1,2
1655,103,1,2,1,1
1657,103,1,2,1,2
1658,101,1,2,2,2
1661,200,1,2,1,2
1664,104,1,2,8,1
1667,200,1,2,1,2
1668,104,1,2,3,2
1670,103,1,2,1,2
1672,104,1,1,8,1
1673,503,1,2,4,2
1675,101,1,1,1,2
1676,103,1,1,2,2
1678,200,1,2,1,2
1679,104,1,2,2,2
1680,102,1,2,1,2
1681,200,1,2,1,2
1682,200,1,2,1,2
1683,102,1,2,1,2
1685,103,1,2,4,2
1687,200,1,2,1,2
1688,103,1,2,2,2
1689,103,1,2,1,2
1690,101,1,1,1,1
1691,103,2,1,2,2
1692,102,1,2,1,2
1693,501,1,2,2,2
1694,101,1,1,1,2
1695,200,1,2,1,2
